host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
54275,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,1.01,3,251
56094,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,0.63,1,302
56104,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,0.7,1,140
56246,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,2.82,1,234
56284,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,0.22,1,257
59023,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,0.17,1,301
59734,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,2.49,2,294
32169,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,1.19,3,320
60252,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,0.38,1,263
61491,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,0.57,2,231
63613,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,0.23,2,292
64056,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,0.16,1,0
64442,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,4.72,2,72
64522,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,1.4,1,362
4396,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,1.26,2,336
65837,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,1.64,1,215
66035,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,0.43,1,116
66243,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,0.43,1,88
68428,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,1.6,2,336
68599,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,0.92,1,304
69829,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,0.2,1,224
69942,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,1.5,1,322
71512,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,1.28,1,132
71876,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,1.65,1,295
73128,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,0.62,1,328
73469,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,0.15,1,38
74857,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,0.53,1,272
62407,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,1.73,1,26
76627,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,0.05,1,0
961342,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,0.28,1,317
78460,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,3.4,1,207
79070,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,0.3,1,158
79402,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,1.57,1,0
44145,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,1.05,2,9
42032,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,0.71,1,198
82685,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,0.11,1,365
87773,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,1.23,2,311
32294,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,0.87,3,219
11481,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,2.09,3,342
63318,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,0.6,1,312
97219,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,3.02,1,152
107628,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1.61,1,346
59734,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,3.0,2,279
112793,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,0.13,1,164
115157,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,0.38,1,260
115307,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,3.01,1,107
115560,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,0.27,1,199
118971,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3.2,3,20
119510,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,2.03,1,318
119900,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,0.12,1,224
120223,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,0.23,1,0
65091,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,0.08,1,324
6197784,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,0.08,1,245
124352,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19,1,189
35935,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58,2,310
126607,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42,3,213
127608,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35,1,278
125857,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66,1,209
129352,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1.86,1,0
120335,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29,1,16
117287,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45,3,234
137292,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02,1,178
137814,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89,3,275
137974,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09,2,163
116599,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77,3,365
139612,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1,1,280
139874,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04,1,0
140025,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01,1,1
137974,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72,2,170
142833,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11,1,188
143027,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19,1,214
143048,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28,1,248
120291,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74,1,307
142684,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61,1,1
157798,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32,1,10
159370,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25,1,189
92788,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16,2,290
168417,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6,2,164
168525,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86,2,53
170510,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86,2,3
171851,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13,1,189
174025,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08,1,365
180083,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0
181167,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0
137814,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47,3,336
11481,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342
185978,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,1,312
177536,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,1,37
190409,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2.04,3,353
193360,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,1,177
193722,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0
181376,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2.0,2,321
193637,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,1,246
126607,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,3,231
202249,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0
67778,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,1.92,2,0
867225,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,2,233
204724,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1
8198,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18
210746,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,3,250
212722,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85,1,326
214287,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0
218404,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299
221873,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207
9744,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,3,162
236655,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69,1,7
237329,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52,1,328
27848,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49,2,365
240360,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1.01,1,0
247432,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,0.48,1,0
10889,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,2,164
255583,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363
210746,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12,3,250
190409,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,1.45,3,323
258164,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92,1,192
260709,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,1,125
262138,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22,1,91
88209,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17,1,75
263414,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22,1,286
168525,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,2,60
264928,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,0.35,1,0
267593,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,1,192
268014,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65,1,58
272006,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292
199392,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,1,279
239208,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1.96,1,0
274557,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,0.96,1,3
275459,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351
275578,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09,1,201
276291,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2.1,2,232
277379,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,4.58,2,258
277394,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26,1,272
279797,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,0.3,1,341
282927,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,0.39,1,244
274782,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,0.67,1,12
186084,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,0.18,2,265
99212,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,0.1,1,91
249372,Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,0.11,1,365
292630,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,1.22,1,320
293394,Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,0.04,1,0
126607,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,1.3,3,192
295760,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,0.2,1,0
297769,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,1.8,2,353
281764,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,2.3,1,2
197755,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,2.13,1,68
306545,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,1.78,2,326
306605,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,0.7,2,76
306739,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,1.22,3,279
308875,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,1.77,2,15
307962,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,4.5,1,226
308652,Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,0.46,2,365
170510,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,135,2,248,2.39,2,11
312288,Manhattan,Inwood,40.86648,-73.9263,Private room,75,7,0,0.0,2,323
146944,Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,0.0,1,0
313317,Brooklyn,Crown Heights,40.6778,-73.94339,Private room,100,3,279,2.69,1,301
314256,Brooklyn,Crown Heights,40.6761,-73.9529,Private room,110,6,50,3.55,1,0
314582,Brooklyn,Crown Heights,40.67586,-73.95155,Private room,60,2,227,2.27,2,287
46978,Manhattan,East Village,40.72321,-73.98157,Private room,68,2,203,1.96,2,86
317809,Manhattan,Upper West Side,40.77956,-73.98098,Entire home/apt,115,2,210,2.1,1,261
319092,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,5,64,0.67,1,68
320422,Brooklyn,Williamsburg,40.71368,-73.9626,Private room,60,3,0,0.0,1,0
320450,Manhattan,East Village,40.72956,-73.98158,Entire home/apt,129,7,5,0.15,1,231
320761,Brooklyn,Williamsburg,40.71069,-73.95175,Entire home/apt,130,10,49,0.48,1,152
320538,Brooklyn,Williamsburg,40.70863,-73.94641,Entire home/apt,95,4,132,1.27,1,46
321756,Manhattan,Harlem,40.82888,-73.94307,Private room,75,3,20,0.26,1,364
321934,Brooklyn,Park Slope,40.67319,-73.97323,Entire home/apt,175,2,11,0.11,1,246
322884,Brooklyn,Carroll Gardens,40.67846,-73.99443,Entire home/apt,190,3,51,0.57,1,288
324460,Manhattan,East Village,40.72681,-73.98534,Entire home/apt,212,3,67,1.31,1,51
314941,Manhattan,Lower East Side,40.71904,-73.99392,Private room,95,1,109,1.11,3,364
325389,Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,0.11,1,254
136227,Manhattan,Harlem,40.81322,-73.95306,Entire home/apt,135,6,187,1.87,1,189
327673,Brooklyn,Park Slope,40.67732,-73.98225,Entire home/apt,150,2,214,2.08,2,263
329436,Brooklyn,Gowanus,40.68076,-73.9896,Entire home/apt,190,3,69,0.79,2,258
332189,Manhattan,Morningside Heights,40.80393,-73.95838,Private room,122,3,93,0.93,1,246
323517,Manhattan,Upper West Side,40.80082,-73.9652,Private room,109,1,104,1.05,2,364
240427,Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,Entire home/apt,145,3,127,1.25,2,72
342054,Manhattan,Upper West Side,40.78971,-73.9729,Entire home/apt,195,11,30,0.32,1,249
282655,Brooklyn,Carroll Gardens,40.67817,-73.99495,Entire home/apt,250,2,106,1.34,3,272
343250,Brooklyn,Greenpoint,40.73119,-73.95578,Private room,125,3,6,0.1,1,325
155689,Brooklyn,Bushwick,40.70514,-73.91922,Private room,70,5,47,0.49,1,203
353965,Manhattan,Inwood,40.86713,-73.92811,Private room,90,2,120,1.27,1,132
354330,Manhattan,East Village,40.73198,-73.98881,Private room,65,3,52,0.63,1,5
361855,Manhattan,Washington Heights,40.83494,-73.93869,Entire home/apt,250,3,32,0.43,2,276
365153,Brooklyn,Greenpoint,40.72898,-73.95552,Entire home/apt,229,1,50,0.5,1,188
340692,Brooklyn,Greenpoint,40.72646,-73.95341,Private room,59,3,29,0.36,1,15
211877,Brooklyn,Williamsburg,40.71015,-73.96101,Entire home/apt,195,4,59,0.6,1,71
389924,Brooklyn,Williamsburg,40.71903,-73.9597,Entire home/apt,169,1,68,0.67,2,215
265109,Queens,Astoria,40.77635,-73.93426,Entire home/apt,115,2,198,2.01,1,257
394752,Brooklyn,Greenpoint,40.72488,-73.95018,Private room,55,2,1,0.01,1,0
308875,Brooklyn,Williamsburg,40.71398,-73.95763,Private room,69,2,220,2.17,2,8
401696,Manhattan,Lower East Side,40.71876,-73.98394,Entire home/apt,150,3,286,2.81,1,191
118971,Brooklyn,South Slope,40.66552,-73.99019,Entire home/apt,169,2,398,3.97,3,182
134355,Manhattan,Hell's Kitchen,40.76248,-73.9913,Private room,150,3,36,0.36,1,49
422561,Brooklyn,Boerum Hill,40.68674,-73.98876,Entire home/apt,135,4,6,0.1,1,0
434987,Manhattan,East Village,40.72329,-73.98486,Private room,71,2,182,1.81,1,200
448312,Brooklyn,Brooklyn Heights,40.6926,-73.99832,Private room,100,3,66,0.68,2,0
448312,Brooklyn,Brooklyn Heights,40.69441,-73.99771,Entire home/apt,200,3,80,0.85,2,106
449787,Manhattan,East Village,40.72399,-73.98374,Entire home/apt,169,4,240,2.4,1,276
451545,Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,Entire home/apt,185,3,46,1.07,1,248
453519,Brooklyn,Bushwick,40.68949,-73.91708,Entire home/apt,65,2,228,2.27,1,194
410094,Manhattan,East Village,40.72451,-73.98094,Entire home/apt,225,2,33,0.33,1,0
459054,Brooklyn,Crown Heights,40.67591,-73.94715,Entire home/apt,150,5,5,0.05,1,0
462776,Manhattan,East Village,40.72843,-73.98895,Entire home/apt,139,1,388,3.88,1,142
464506,Manhattan,Two Bridges,40.71271,-73.99776,Private room,95,3,223,2.22,2,60
327900,Manhattan,Lower East Side,40.71965,-73.98766,Entire home/apt,150,2,151,1.51,2,52
25183,Brooklyn,Bedford-Stuyvesant,40.68314,-73.93963,Entire home/apt,120,2,75,0.76,2,237
35375,Queens,Astoria,40.75961,-73.91117,Private room,80,1,42,1.21,2,365
478395,Brooklyn,Bedford-Stuyvesant,40.69305,-73.93185,Entire home/apt,175,2,370,3.74,1,204
473113,Brooklyn,Crown Heights,40.67174,-73.95663,Entire home/apt,120,5,104,1.04,1,272
509341,Brooklyn,Williamsburg,40.71055,-73.95098,Entire home/apt,140,7,13,0.13,1,0
509918,Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458,Entire home/apt,200,5,4,0.07,1,9
116599,Brooklyn,Clinton Hill,40.68413,-73.96542,Private room,165,4,11,0.11,3,365
31374,Manhattan,Kips Bay,40.73877,-73.97707,Entire home/apt,125,4,1,0.01,3,181
522065,Manhattan,East Harlem,40.79406,-73.94102,Shared room,65,7,131,1.31,2,0
523218,Manhattan,Washington Heights,40.85295,-73.93361,Private room,67,2,136,1.37,1,296
526653,Queens,Queens Village,40.72413,-73.76133,Private room,50,1,43,0.45,1,88
526805,Brooklyn,Gowanus,40.66918,-73.99187,Entire home/apt,130,7,98,0.99,1,35
530032,Brooklyn,Williamsburg,40.71125,-73.95613,Private room,100,3,31,0.31,1,0
465278,Brooklyn,Williamsburg,40.71577,-73.96053,Entire home/apt,190,3,124,1.76,1,359
251176,Manhattan,East Village,40.72577,-73.98745,Entire home/apt,249,5,166,1.68,2,365
551055,Manhattan,Harlem,40.82773,-73.95231,Private room,60,3,380,3.83,2,247
552679,Brooklyn,Bedford-Stuyvesant,40.68505,-73.95684,Entire home/apt,135,2,86,0.87,1,102
306739,Brooklyn,Greenpoint,40.72911,-73.95493,Entire home/apt,175,3,248,2.53,3,274
3088389,Manhattan,Upper West Side,40.77944,-73.98567,Entire home/apt,120,5,49,0.56,1,201
572527,Brooklyn,Crown Heights,40.67539,-73.96093,Entire home/apt,165,7,3,0.03,1,157
573316,Manhattan,Harlem,40.8054,-73.95189,Private room,90,1,1,0.02,1,0
571952,Manhattan,Upper East Side,40.78491,-73.9508,Entire home/apt,225,2,56,0.57,1,312
181376,Brooklyn,Fort Greene,40.69088,-73.97307,Private room,95,2,163,1.66,2,331
314582,Brooklyn,Crown Heights,40.67555,-73.95057,Private room,55,2,247,2.51,2,275
275582,Manhattan,Hell's Kitchen,40.75835,-73.99193,Private room,85,10,116,1.17,1,174
314941,Manhattan,Lower East Side,40.71895,-73.99434,Entire home/apt,211,1,52,0.6,3,361
582598,Manhattan,Midtown,40.75579,-73.96699,Entire home/apt,145,6,39,0.4,1,0
127772,Manhattan,Harlem,40.81822,-73.94095,Entire home/apt,99,1,320,3.23,1,220
585166,Queens,Astoria,40.76434,-73.92132,Entire home/apt,110,4,30,0.32,1,363
2248897,Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747,Entire home/apt,110,4,70,0.75,1,283
585458,Manhattan,Chelsea,40.74412,-74.00208,Private room,290,2,35,0.36,1,20
599354,Manhattan,East Village,40.73067,-73.98702,Private room,87,2,0,0.0,1,0
138069,Brooklyn,Williamsburg,40.70665,-73.94061,Entire home/apt,190,4,50,0.51,1,331
262812,Brooklyn,Williamsburg,40.72063,-73.95952,Entire home/apt,200,2,29,0.31,1,36
611716,Brooklyn,Park Slope,40.67644,-73.98082,Entire home/apt,165,2,23,0.23,2,7
617990,Manhattan,Harlem,40.80481,-73.94794,Entire home/apt,110,2,142,1.44,2,301
622855,Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038,Private room,99,2,38,0.54,2,307
308652,Brooklyn,Kensington,40.64302,-73.97255,Private room,39,1,82,0.94,2,365
627217,Manhattan,East Village,40.72939,-73.98857,Entire home/apt,189,2,403,4.1,3,201
620288,Manhattan,Upper West Side,40.79918,-73.96607,Private room,85,1,3,0.03,1,0
275563,Brooklyn,Greenpoint,40.72473,-73.95199,Entire home/apt,165,2,175,1.79,1,139
85330,Queens,Forest Hills,40.70925,-73.85262,Entire home/apt,97,3,28,1.21,3,209
651390,Manhattan,West Village,40.73215,-74.00922,Entire home/apt,170,4,24,0.25,1,0
507186,Brooklyn,Williamsburg,40.71109,-73.94332,Entire home/apt,125,2,15,0.15,1,0
653405,Manhattan,Murray Hill,40.7463,-73.97926,Private room,130,4,105,1.07,1,193
652842,Brooklyn,Williamsburg,40.71823,-73.95849,Entire home/apt,225,10,22,0.38,1,52
663764,Brooklyn,East Flatbush,40.651,-73.94886,Private room,50,2,263,2.69,2,136
